pgc,Nest,Dist,DM,eD,C,T,L,M,S,N,H,F,RAJ,DeJ,Glon,Glat,SGL,SGB,Ty,Asfd,Btot,Ks,Vhel,Vgsr,Vls,Vcmb,Vmod,Name,Icnt,2Mass,Ndgp,Dgp,DMgp,eDgp,NV,Lgp,Bgp,SGLgp,SGBgp,Tgp,S_B,S_K,Vhgp,Vggp,Vlsgp,Vcgp,Vmgp,Vrms,GroupName
4,202766,50.58,33.52,0.20,,,,,,,H,,000003.5,+230515.5,107.8322,-38.2729,316.0587,18.4514,5,0.40,16.88,0.00,4458,4638,4706,4109,4154,AGC331060,0,0,1,50.58,33.52,0.20,1,107.8322,-38.2729,316.0587,18.4514,5,16.88,0.00,4458,4638,4706,4109,4154,0,
55,0,73.79,34.34,0.20,,,,,,,H,,000037.4,+333603.4,110.9496,-28.0856,327.0998,19.7763,6,0.22,17.04,0.00,4779,4979,5052,4454,4507,UGC12898,0,0,1,73.79,34.34,0.20,1,110.9496,-28.0856,327.0998,19.7763,6,17.04,0.00,4779,4979,5052,4454,4507,0,
70,209949,117.49,35.35,0.20,,,,,,,H,,000056.1,+202016.7,107.1780,-40.9837,313.2487,17.7662,6,0.34,15.61,11.26,6800,6974,7040,6447,6557,UGC12900,0,0,1,117.49,35.35,0.20,1,107.1780,-40.9837,313.2487,17.7662,6,15.61,11.26,6800,6974,7040,6447,6557,0,
76,209247,97.72,34.95,0.20,,,,,,,H,,000058.9,+285441.5,109.8059,-32.6707,322.1728,19.1316,3,0.21,14.82,11.01,6920,7112,7183,6583,6697,UGC12901,0,0,1,97.72,34.95,0.20,1,109.8059,-32.6707,322.1728,19.1316,3,14.82,11.01,6920,7112,7183,6583,6697,0,
124,0,81.66,34.56,0.20,,,,,,,H,,000136.7,+033020.1,99.5866,-57.0904,296.2413,13.7943,6,0.10,16.90,0.00,6350,6477,6529,5988,6083,UGC12913,0,0,1,81.66,34.56,0.20,1,99.5866,-57.0904,296.2413,13.7943,6,16.90,0.00,6350,6477,6529,5988,6083,0,
143,0,0.96,24.92,0.05,C,T,L,M,,,,,000158.2,-152739.3,75.8635,-73.6245,277.8077,8.0860,10,0.16,11.04,9.00,-108,-45,-14,-441,-441,WLM,222,0,39,0.76,24.40,0.01,41,125.4790,-26.4230,322.2989,9.4579,2,3.40,0.68,-213,-49,17,-485,-485,156,"2557    NGC0224"
145,0,134.28,35.64,0.20,,,,,,,H,,000157.2,-275957.9,25.5365,-79.0034,265.9224,3.8952,3,0.08,15.06,0.00,9723,9739,9753,9427,9661,ESO409-004,0,0,1,134.28,35.64,0.20,1,25.5365,-79.0034,265.9224,3.8952,3,15.06,0.00,9723,9739,9753,9427,9661,0,
165,200542,86.30,34.68,0.20,,,,,,,H,,000223.0,+271238.0,109.6981,-34.3974,320.4400,18.5834,4,0.21,15.77,0.00,7620,7808,7878,7280,7420,UGC12920,0,0,1,86.30,34.68,0.20,1,109.6981,-34.3974,320.4400,18.5834,4,15.77,0.00,7620,7808,7878,7280,7420,0,
176,201890,103.28,35.07,0.20,,,,,,,H,,000234.8,-034238.9,94.3256,-63.8349,289.2040,11.5576,4,0.17,14.49,10.98,6465,6568,6612,6109,6208,AGC400001,0,0,1,103.28,35.07,0.20,1,94.3256,-63.8349,289.2040,11.5576,4,14.49,10.98,6465,6568,6612,6109,6208,0,
179,211101,71.12,34.26,0.20,,,,,,,H,,000239.9,+084413.0,103.0012,-52.2368,301.5334,14.8675,3,0.28,15.69,11.48,5537,5680,5736,5175,5246,AGC100002,0,0,1,71.12,34.26,0.20,1,103.0012,-52.2368,301.5334,14.8675,3,15.69,11.48,5537,5680,5736,5175,5246,0,
186,208101,115.88,35.32,0.20,,,,,,,H,,000246.4,+185310.6,107.2408,-42.4978,311.8408,17.0661,1,0.15,14.82,10.91,7894,8063,8128,7539,7689,UGC00003,0,0,1,115.88,35.32,0.20,1,107.2408,-42.4978,311.8408,17.0661,1,14.82,10.91,7894,8063,8128,7539,7689,0,
201,202410,127.06,35.52,0.20,,,,,,,H,,000257.0,+041231.0,100.6048,-56.5458,297.0307,13.6568,4,0.12,15.52,11.71,8629,8758,8810,8267,8447,UGC00004,0,0,1,127.06,35.52,0.20,1,100.6048,-56.5458,297.0307,13.6568,4,15.52,11.71,8629,8758,8810,8267,8447,0,
205,207476,105.20,35.11,0.20,,,,,,,H,,000305.7,-015449.9,96.2231,-62.2521,290.9996,11.9504,4,0.17,14.17,10.42,7267,7376,7422,6910,7036,UGC00005,0,3703,1,105.20,35.11,0.20,3,96.9948,-62.1307,291.3296,11.7497,4,0.00,10.05,7218,7328,7374,6861,6985,45,UGC00005
212,205137,206.06,36.57,0.20,,,,,,,H,,000311.2,+155755.6,106.3213,-45.3440,308.8750,16.3795,2,0.19,14.94,10.65,11229,11391,11454,10871,11182,UGC00007,0,0,1,206.06,36.57,0.20,1,106.3213,-45.3440,308.8750,16.3795,2,14.94,10.65,11229,11391,11454,10871,11182,0,
218,211714,13.68,30.68,0.12,,,,,S,,H,,000314.9,+160844.0,106.4096,-45.1747,309.0615,16.4021,2,0.19,11.59,7.18,1051,1213,1276,694,695,NGC07814,1211,0,3,12.30,30.45,0.09,4,107.6898,-45.4946,309.1776,15.4437,8,11.08,7.13,911,1071,1133,555,556,96,"218   NGC07814"
226,200076,92.47,34.83,0.20,,,,,,,H,,000320.4,+083708.0,103.2027,-52.4005,301.4568,14.6765,5,0.32,15.36,11.26,11946,12088,12144,11584,11937,UGC00010,0,0,1,92.47,34.83,0.20,1,103.2027,-52.4005,301.4568,14.6765,5,15.36,11.26,11946,12088,12144,11584,11937,0,
250,208532,92.04,34.82,0.08,,,,,,N,H,,000335.0,+231202.9,108.8693,-38.3606,316.3211,17.6720,6,0.41,14.42,10.95,7265,7444,7512,6917,7043,UGC00014,0,0,1,92.04,34.82,0.08,1,108.8693,-38.3606,316.3211,17.6720,6,14.42,10.95,7265,7444,7512,6917,7043,0,
255,211714,20.32,31.54,0.20,,,,,,,H,,000343.2,+151305.4,106.2143,-46.0988,308.1421,16.0963,9,0.21,15.09,0.00,878,1038,1100,520,521,UGC00017,1211,0,3,12.30,30.45,0.09,4,107.6898,-45.4946,309.1776,15.4437,8,11.08,7.13,911,1071,1133,555,556,96,"218   NGC07814"
259,0,109.14,35.19,0.20,,,,,,,H,,000344.3,+161112.4,106.5852,-45.1656,309.1290,16.2962,4,0.20,15.67,0.00,6412,6574,6637,6055,6152,AGC100020,0,0,1,109.14,35.19,0.20,1,106.5852,-45.1656,309.1290,16.2962,4,15.67,0.00,6412,6574,6637,6055,6152,0,
265,200108,118.58,35.37,0.20,,,,,,,H,,000351.7,-504559.8,320.6851,-64.6904,244.6595,-4.2980,4,0.06,16.13,0.00,11900,11829,11813,11708,12068,PGC000265,0,0,1,118.58,35.37,0.20,1,320.6851,-64.6904,244.6595,-4.2980,4,16.13,0.00,11900,11829,11813,11708,12068,0,
279,202396,29.24,32.33,0.20,,,,,,,H,,000358.9,+204508.4,108.2279,-40.7610,313.8135,17.1421,4,0.25,12.82,8.40,2311,2484,2550,1959,1969,NGC007817,1178,0,2,34.83,32.71,0.14,3,104.9777,-40.1341,313.1889,19.6382,4,12.46,8.31,2303,2481,2547,1948,1958,100,"279  NGC007817"
280,207374,108.64,35.18,0.20,,,,,,,H,,000401.2,-512338.8,320.0161,-64.1325,244.0751,-4.5329,3,0.07,15.16,11.66,10499,10425,10408,10310,10590,ESO193-013,0,0,1,108.64,35.18,0.20,1,320.0161,-64.1325,244.0751,-4.5329,3,15.16,11.66,10499,10425,10408,10310,10590,0,
291,200108,155.60,35.96,0.20,,,,,,,H,,000414.0,-511324.7,320.1115,-64.3012,244.2473,-4.5068,-2,0.05,16.80,0.00,11133,11061,11044,10944,11259,PGC000291,0,0,1,155.60,35.96,0.20,1,320.1115,-64.3012,244.2473,-4.5068,-2,16.80,0.00,11133,11061,11044,10944,11259,0,
292,205875,167.49,36.12,0.20,,,,,,,H,,000415.1,-503845.7,320.6757,-64.8254,244.7938,-4.3154,3,0.06,14.82,11.49,11875,11804,11788,11682,12040,ESO193-014,0,0,1,167.49,36.12,0.20,1,320.6757,-64.8254,244.7938,-4.3154,3,14.82,11.49,11875,11804,11788,11682,12040,0,
296,201376,106.66,35.14,0.20,,,,,,,H,,000413.0,+104725.8,104.5586,-50.3890,303.6913,14.9857,3,0.37,15.17,10.86,7977,8124,8183,7616,7769,UGC00023,0,0,1,106.66,35.14,0.20,1,104.5586,-50.3890,303.6913,14.9857,3,15.17,10.86,7977,8124,8183,7616,7769,0,
298,0,48.08,33.41,0.20,,,,,,,H,,000414.7,+223517.3,108.8750,-38.9918,315.7166,17.4148,6,0.29,15.67,0.00,4452,4629,4697,4103,4148,UGC00024,0,0,1,48.08,33.41,0.20,1,108.8750,-38.9918,315.7166,17.4148,6,15.67,0.00,4452,4629,4697,4103,4148,0,
301,0,78.70,34.48,0.20,,,,,,,H,,000425.0,+061039.5,102.3572,-54.8049,299.0852,13.8113,6,0.30,17.59,0.00,5091,5225,5279,4730,4789,UGC00025,0,0,1,78.70,34.48,0.20,1,102.3572,-54.8049,299.0852,13.8113,6,17.59,0.00,5091,5225,5279,4730,4789,0,
303,200786,42.07,33.12,0.20,,,,,,,H,,000424.5,+312819.2,111.3151,-30.3366,324.9591,18.7347,3,0.24,14.27,11.16,4974,5169,5241,4645,4702,UGC00026,0,4366,1,42.07,33.12,0.20,4,110.8537,-30.3776,324.7767,19.0959,3,0.00,9.19,4872,5067,5139,4542,4597,105,
305,211271,44.46,33.24,0.20,,,,,,,H,,000428.8,+055050.0,102.2036,-55.1249,298.7596,13.7102,6,0.23,15.36,0.00,3121,3254,3308,2760,2780,UGC00027,0,0,1,44.46,33.24,0.20,1,102.2036,-55.1249,298.7596,13.7102,6,15.36,0.00,3121,3254,3308,2760,2780,0,
354,201263,105.68,35.12,0.20,,,,,,,H,,000506.3,+065512.2,103.0326,-54.1518,299.8695,13.8336,2,0.22,14.34,9.66,6154,6290,6345,5793,5882,UGC00034,0,0,1,105.68,35.12,0.20,1,103.0326,-54.1518,299.8695,13.8336,2,14.34,9.66,6154,6290,6345,5793,5882,0,
366,201263,94.62,34.88,0.20,,,,,,,H,,000513.9,+064618.9,103.0072,-54.3026,299.7301,13.7655,1,0.23,14.70,10.23,6301,6437,6491,5940,6033,UGC00036,0,0,1,94.62,34.88,0.20,1,103.0072,-54.3026,299.7301,13.7655,1,14.70,10.23,6301,6437,6491,5940,6033,0,
367,207240,100.46,35.01,0.20,,,,,,,H,,000516.7,-162837.0,75.4658,-74.9096,277.0959,7.0066,5,0.11,14.52,10.19,7426,7483,7512,7095,7228,NGC007821,0,0,1,100.46,35.01,0.20,1,75.4658,-74.9096,277.0959,7.0066,5,14.52,10.19,7426,7483,7512,7095,7228,0,
382,200108,162.93,36.06,0.20,,,,,,,H,,000529.0,-501613.1,320.6339,-65.2489,245.2147,-4.3745,5,0.05,14.32,10.78,10379,10309,10294,10185,10458,ESO193-019,0,3307,2,133.05,35.62,0.14,13,320.0708,-64.9721,244.9177,-4.5883,2,0.00,8.74,10350,10279,10263,10158,10430,268,ESO193-026
383,200108,143.88,35.79,0.20,,,,,,,H,,000529.3,-493713.0,321.3046,-65.8367,245.8296,-4.1587,3,0.07,14.80,11.40,10688,10621,10606,10490,10779,ESO193-018,0,3249,1,143.88,35.79,0.20,3,321.5581,-65.6016,245.6070,-4.0289,3,0.00,10.19,10999,10932,10917,10802,11109,288,
388,0,8.71,29.70,0.10,,T,,,,,,,000531.9,-280554.2,24.8340,-79.7884,266.0981,3.1192,5,0.07,15.13,14.44,737,750,764,442,443,ESO409-015,0,0,1,8.71,29.70,0.10,1,24.8340,-79.7884,266.0981,3.1192,5,15.13,14.44,737,750,764,442,443,0,
393,206241,142.56,35.77,0.20,,,,,,,H,,000534.3,+533752.8,116.0841,-8.6294,348.4276,19.8899,6,1.81,15.76,10.80,9523,9740,9817,9274,9501,UGC000039,0,0,1,142.56,35.77,0.20,1,116.0841,-8.6294,348.4276,19.8899,6,15.76,10.80,9523,9740,9817,9274,9501,0,
415,200542,103.75,35.08,0.08,,,,,,N,H,,000548.4,+272656.6,110.6599,-34.3326,320.8091,17.8681,4,0.30,15.11,10.98,7532,7719,7789,7193,7330,UGC00040,0,4109,2,101.39,35.03,0.07,3,110.5970,-34.2751,320.8447,17.9367,3,0.00,9.90,7590,7777,7847,7251,7390,88,UGC00040
431,210246,86.30,34.68,0.20,,,,,,,H,,000556.1,+222933.4,109.3352,-39.1748,315.6906,17.0142,6,0.31,16.34,0.00,6615,6791,6859,6267,6371,UGC00041,0,0,1,86.30,34.68,0.20,1,109.3352,-39.1748,315.6906,17.0142,6,16.34,0.00,6615,6791,6859,6267,6371,0,
507,208894,103.75,35.08,0.20,,,,,,,H,,000640.1,+260914.8,110.5529,-35.6387,319.4988,17.4743,2,0.15,15.04,11.06,7559,7743,7812,7218,7356,UGC00050,0,0,1,103.75,35.08,0.20,1,110.5529,-35.6387,319.4988,17.4743,2,15.04,11.06,7559,7743,7812,7218,7356,0,
