Z,DIST
0.000,0.000
0.001,4.282
0.002,8.562
0.003,12.841
0.004,17.117
0.005,21.392
0.006,25.664
0.007,29.935
0.008,34.204
0.009,38.470
0.010,42.735
0.011,46.998
0.012,51.259
0.013,55.518
0.014,59.775
0.015,64.030
0.016,68.283
0.017,72.534
0.018,76.784
0.019,81.031
0.020,85.276
0.021,89.520
0.022,93.761
0.023,98.001
0.024,102.238
0.025,106.474
0.026,110.708
0.027,114.939
0.028,119.169
0.029,123.397
0.030,127.622
0.031,131.846
0.032,136.068
0.033,140.288
0.034,144.506
0.035,148.722
0.036,152.936
0.037,157.148
0.038,161.358
0.039,165.566
0.040,169.772
0.041,173.976
0.042,178.179
0.043,182.379
0.044,186.577
0.045,190.773
0.046,194.968
0.047,199.160
0.048,203.350
0.049,207.538
0.050,211.725
0.051,215.909
0.052,220.092
0.053,224.272
0.054,228.450
0.055,232.627
0.056,236.801
0.057,240.974
0.058,245.144
0.059,249.313
0.060,253.479
0.061,257.643
0.062,261.806
0.063,265.966
0.064,270.125
0.065,274.281
0.066,278.436
0.067,282.588
0.068,286.739
0.069,290.888
0.070,295.034
0.071,299.179
0.072,303.321
0.073,307.462
0.074,311.600
0.075,315.737
0.076,319.871
0.077,324.004
0.078,328.134
0.079,332.262
0.080,336.389
0.081,340.513
0.082,344.636
0.083,348.756
0.084,352.875
0.085,356.991
0.086,361.106
0.087,365.218
0.088,369.328
0.089,373.437
0.090,377.543
0.091,381.647
0.092,385.750
0.093,389.850
0.094,393.948
0.095,398.044
0.096,402.139
0.097,406.231
0.098,410.321
0.099,414.409
0.100,418.495
0.101,422.579
0.102,426.662
0.103,430.742
0.104,434.820
0.105,438.896
0.106,442.970
0.107,447.042
0.108,451.112
0.109,455.179
0.110,459.245
0.111,463.309
0.112,467.371
0.113,471.431
0.114,475.489
0.115,479.544
0.116,483.598
0.117,487.650
0.118,491.699
0.119,495.747
0.120,499.792
0.121,503.836
0.122,507.877
0.123,511.917
0.124,515.954
0.125,519.990
0.126,524.023
0.127,528.054
0.128,532.083
0.129,536.111
0.130,540.136
0.131,544.159
0.132,548.180
0.133,552.199
0.134,556.216
0.135,560.231
0.136,564.244
0.137,568.255
0.138,572.264
0.139,576.270
0.140,580.275
0.141,584.278
0.142,588.278
0.143,592.277
0.144,596.273
0.145,600.268
0.146,604.260
0.147,608.251
0.148,612.239
0.149,616.225
0.150,620.210
0.151,624.192
0.152,628.172
0.153,632.150
0.154,636.126
0.155,640.100
0.156,644.072
0.157,648.042
0.158,652.010
0.159,655.976
0.160,659.939
0.161,663.901
0.162,667.861
0.163,671.818
0.164,675.774
0.165,679.727
0.166,683.679
0.167,687.628
0.168,691.575
0.169,695.520
0.170,699.464
0.171,703.405
0.172,707.344
0.173,711.281
0.174,715.216
0.175,719.149
0.176,723.079
0.177,727.008
0.178,730.935
0.179,734.859
0.180,738.782
0.181,742.703
0.182,746.621
0.183,750.537
0.184,754.452
0.185,758.364
0.186,762.274
0.187,766.182
0.188,770.089
0.189,773.993
0.190,777.895
0.191,781.794
0.192,785.692
0.193,789.588
0.194,793.482
0.195,797.373
0.196,801.263
0.197,805.151
0.198,809.036
0.199,812.920
0.200,816.801
0.201,820.680
0.202,824.557
0.203,828.432
0.204,832.306
0.205,836.177
0.206,840.046
0.207,843.912
0.208,847.777
0.209,851.640
0.210,855.501
0.211,859.359
0.212,863.216
0.213,867.070
0.214,870.923
0.215,874.773
0.216,878.622
0.217,882.468
0.218,886.312
0.219,890.154
0.220,893.994
0.221,897.832
0.222,901.668
0.223,905.502
0.224,909.334
0.225,913.163
0.226,916.991
0.227,920.817
0.228,924.640
0.229,928.462
0.230,932.281
0.231,936.098
0.232,939.913
0.233,943.727
0.234,947.538
0.235,951.347
0.236,955.154
0.237,958.959
0.238,962.762
0.239,966.562
0.240,970.361
0.241,974.158
0.242,977.952
0.243,981.745
0.244,985.535
0.245,989.324
0.246,993.110
0.247,996.894
0.248,1000.676
0.249,1004.457
0.250,1008.235
0.251,1012.011
0.252,1015.785
0.253,1019.556
0.254,1023.326
0.255,1027.094
0.256,1030.860
0.257,1034.623
0.258,1038.385
0.259,1042.144
0.260,1045.902
0.261,1049.657
0.262,1053.410
0.263,1057.162
0.264,1060.911
0.265,1064.658
0.266,1068.403
0.267,1072.146
0.268,1075.887
0.269,1079.625
0.270,1083.362
0.271,1087.097
0.272,1090.830
0.273,1094.560
0.274,1098.289
0.275,1102.015
0.276,1105.740
0.277,1109.462
0.278,1113.182
0.279,1116.900
0.280,1120.617
0.281,1124.331
0.282,1128.043
0.283,1131.753
0.284,1135.461
0.285,1139.166
0.286,1142.870
0.287,1146.572
0.288,1150.272
0.289,1153.969
0.290,1157.665
0.291,1161.358
0.292,1165.050
0.293,1168.739
0.294,1172.426
0.295,1176.112
0.296,1179.795
0.297,1183.476
0.298,1187.155
0.299,1190.832
0.300,1194.507
0.301,1198.180
0.302,1201.851
0.303,1205.520
0.304,1209.186
0.305,1212.851
0.306,1216.514
0.307,1220.174
0.308,1223.833
0.309,1227.489
0.310,1231.144
0.311,1234.796
0.312,1238.447
0.313,1242.095
0.314,1245.741
0.315,1249.385
0.316,1253.027
0.317,1256.667
0.318,1260.305
0.319,1263.941
0.320,1267.575
0.321,1271.207
0.322,1274.837
0.323,1278.465
0.324,1282.090
0.325,1285.714
0.326,1289.336
0.327,1292.955
0.328,1296.573
0.329,1300.188
0.330,1303.802
0.331,1307.413
0.332,1311.023
0.333,1314.630
0.334,1318.235
0.335,1321.838
0.336,1325.439
0.337,1329.039
0.338,1332.636
0.339,1336.231
0.340,1339.824
0.341,1343.415
0.342,1347.004
0.343,1350.590
0.344,1354.175
0.345,1357.758
0.346,1361.339
0.347,1364.918
0.348,1368.494
0.349,1372.069
0.350,1375.641
0.351,1379.212
0.352,1382.781
0.353,1386.347
0.354,1389.912
0.355,1393.474
0.356,1397.034
0.357,1400.593
0.358,1404.149
0.359,1407.703
0.360,1411.256
0.361,1414.806
0.362,1418.354
0.363,1421.900
0.364,1425.444
0.365,1428.986
0.366,1432.526
0.367,1436.064
0.368,1439.600
0.369,1443.134
0.370,1446.666
0.371,1450.196
0.372,1453.724
0.373,1457.250
0.374,1460.774
0.375,1464.296
0.376,1467.816
0.377,1471.333
0.378,1474.849
0.379,1478.363
0.380,1481.875
0.381,1485.384
0.382,1488.892
0.383,1492.398
0.384,1495.901
0.385,1499.403
0.386,1502.902
0.387,1506.400
0.388,1509.896
0.389,1513.389
0.390,1516.881
0.391,1520.370
0.392,1523.858
0.393,1527.343
0.394,1530.827
0.395,1534.308
0.396,1537.787
0.397,1541.265
0.398,1544.740
0.399,1548.214
0.400,1551.685
0.401,1555.154
0.402,1558.622
0.403,1562.087
0.404,1565.550
0.405,1569.012
0.406,1572.471
0.407,1575.928
0.408,1579.384
0.409,1582.837
0.410,1586.288
0.411,1589.738
0.412,1593.185
0.413,1596.630
0.414,1600.074
0.415,1603.515
0.416,1606.954
0.417,1610.392
0.418,1613.827
0.419,1617.260
0.420,1620.692
0.421,1624.121
0.422,1627.548
0.423,1630.974
0.424,1634.397
0.425,1637.818
0.426,1641.238
0.427,1644.655
0.428,1648.070
0.429,1651.484
0.430,1654.895
0.431,1658.304
0.432,1661.712
0.433,1665.117
0.434,1668.521
0.435,1671.922
0.436,1675.322
0.437,1678.719
0.438,1682.115
0.439,1685.508
0.440,1688.900
0.441,1692.289
0.442,1695.677
0.443,1699.062
0.444,1702.446
0.445,1705.827
0.446,1709.207
0.447,1712.585
0.448,1715.960
0.449,1719.334
0.450,1722.706
0.451,1726.075
0.452,1729.443
0.453,1732.809
0.454,1736.173
0.455,1739.535
0.456,1742.895
0.457,1746.252
0.458,1749.608
0.459,1752.962
0.460,1756.314
0.461,1759.664
0.462,1763.012
0.463,1766.359
0.464,1769.703
0.465,1773.045
0.466,1776.385
0.467,1779.723
0.468,1783.060
0.469,1786.394
0.470,1789.726
0.471,1793.057
0.472,1796.385
0.473,1799.712
0.474,1803.036
0.475,1806.359
0.476,1809.679
0.477,1812.998
0.478,1816.315
0.479,1819.629
0.480,1822.942
0.481,1826.253
0.482,1829.562
0.483,1832.869
0.484,1836.174
0.485,1839.477
0.486,1842.778
0.487,1846.077
0.488,1849.374
0.489,1852.669
0.490,1855.963
0.491,1859.254
0.492,1862.544
0.493,1865.831
0.494,1869.117
0.495,1872.400
0.496,1875.682
0.497,1878.962
0.498,1882.239
0.499,1885.515
0.500,1888.789
0.501,1892.061
0.502,1895.331
0.503,1898.599
0.504,1901.865
0.505,1905.130
0.506,1908.392
0.507,1911.652
0.508,1914.911
0.509,1918.167
0.510,1921.422
0.511,1924.674
0.512,1927.925
0.513,1931.174
0.514,1934.421
0.515,1937.666
0.516,1940.909
0.517,1944.150
0.518,1947.389
0.519,1950.627
0.520,1953.862
0.521,1957.095
0.522,1960.327
0.523,1963.557
0.524,1966.784
0.525,1970.010
0.526,1973.234
0.527,1976.456
0.528,1979.676
0.529,1982.894
0.530,1986.110
0.531,1989.325
0.532,1992.537
0.533,1995.747
0.534,1998.956
0.535,2002.163
0.536,2005.368
0.537,2008.570
0.538,2011.771
0.539,2014.970
0.540,2018.168
0.541,2021.363
0.542,2024.556
0.543,2027.748
0.544,2030.937
0.545,2034.125
0.546,2037.311
0.547,2040.495
0.548,2043.677
0.549,2046.857
0.550,2050.035
0.551,2053.211
0.552,2056.386
0.553,2059.558
0.554,2062.729
0.555,2065.898
0.556,2069.065
0.557,2072.230
0.558,2075.393
0.559,2078.554
0.560,2081.714
0.561,2084.871
0.562,2088.027
0.563,2091.180
0.564,2094.332
0.565,2097.482
0.566,2100.630
0.567,2103.776
0.568,2106.921
0.569,2110.063
0.570,2113.204
0.571,2116.343
0.572,2119.479
0.573,2122.614
0.574,2125.747
0.575,2128.879
0.576,2132.008
0.577,2135.136
0.578,2138.261
0.579,2141.385
0.580,2144.507
0.581,2147.627
0.582,2150.745
0.583,2153.862
0.584,2156.976
0.585,2160.089
0.586,2163.199
0.587,2166.308
0.588,2169.415
0.589,2172.521
0.590,2175.624
0.591,2178.725
0.592,2181.825
0.593,2184.923
0.594,2188.019
0.595,2191.113
0.596,2194.205
0.597,2197.295
0.598,2200.384
0.599,2203.471
0.600,2206.556
0.601,2209.639
0.602,2212.720
0.603,2215.799
0.604,2218.877
0.605,2221.952
0.606,2225.026
0.607,2228.098
0.608,2231.168
0.609,2234.237
0.610,2237.303
0.611,2240.368
0.612,2243.431
0.613,2246.492
0.614,2249.551
0.615,2252.608
0.616,2255.664
0.617,2258.717
0.618,2261.769
0.619,2264.819
0.620,2267.867
0.621,2270.914
0.622,2273.958
0.623,2277.001
0.624,2280.042
0.625,2283.081
0.626,2286.119
0.627,2289.154
0.628,2292.188
0.629,2295.220
0.630,2298.250
0.631,2301.278
0.632,2304.304
0.633,2307.329
0.634,2310.352
0.635,2313.373
0.636,2316.392
0.637,2319.409
0.638,2322.425
0.639,2325.439
0.640,2328.451
0.641,2331.461
0.642,2334.469
0.643,2337.476
0.644,2340.480
0.645,2343.483
0.646,2346.485
0.647,2349.484
0.648,2352.482
0.649,2355.477
0.650,2358.471
0.651,2361.464
0.652,2364.454
0.653,2367.443
0.654,2370.430
0.655,2373.415
0.656,2376.398
0.657,2379.379
0.658,2382.359
0.659,2385.337
0.660,2388.313
0.661,2391.287
0.662,2394.260
0.663,2397.231
0.664,2400.200
0.665,2403.167
0.666,2406.133
0.667,2409.096
0.668,2412.058
0.669,2415.018
0.670,2417.977
0.671,2420.933
0.672,2423.888
0.673,2426.841
0.674,2429.793
0.675,2432.742
0.676,2435.690
0.677,2438.636
0.678,2441.580
0.679,2444.523
0.680,2447.463
0.681,2450.402
0.682,2453.340
0.683,2456.275
0.684,2459.209
0.685,2462.141
0.686,2465.071
0.687,2467.999
0.688,2470.926
0.689,2473.851
0.690,2476.774
0.691,2479.696
0.692,2482.615
0.693,2485.533
0.694,2488.449
0.695,2491.364
0.696,2494.277
0.697,2497.188
0.698,2500.097
0.699,2503.004
0.700,2505.910
0.701,2508.814
0.702,2511.716
0.703,2514.617
0.704,2517.516
0.705,2520.413
0.706,2523.308
0.707,2526.202
0.708,2529.094
0.709,2531.984
0.710,2534.872
0.711,2537.759
0.712,2540.644
0.713,2543.527
0.714,2546.409
0.715,2549.288
0.716,2552.166
0.717,2555.043
0.718,2557.917
0.719,2560.790
0.720,2563.662
0.721,2566.531
0.722,2569.399
0.723,2572.265
0.724,2575.129
0.725,2577.992
0.726,2580.853
0.727,2583.712
0.728,2586.569
0.729,2589.425
0.730,2592.279
0.731,2595.132
0.732,2597.982
0.733,2600.831
0.734,2603.678
0.735,2606.524
0.736,2609.368
0.737,2612.210
0.738,2615.051
0.739,2617.889
0.740,2620.726
0.741,2623.562
0.742,2626.395
0.743,2629.227
0.744,2632.058
